date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:15:17	589/589	---MCZ	200	added ('OK')	text/plain	etag:W/%226101d840-632%22	https://www.womenshealth.gov/robots.txt		(from )
06:15:17	58677/58677	---MC-	200	added ('OK')	text/html	date:Sun,%2001%20Aug%202021%2018:23:44%20GMT	https://www.womenshealth.gov/	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/index.html	(from )
06:15:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Aug%202021%2013:15:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Abduljelil/3D%20Objects/h/health/www.googletagmanager.com/gtm.05445.delayed	(from https://www.womenshealth.gov/)
06:15:19	15326/15326	---M--	200	added ('OK')	image/x-icon	etag:%226101d81e-3bde%22	https://www.womenshealth.gov/themes/custom/owh_uswds/assets/img/favicon.ico	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/themes/custom/owh_uswds/assets/img/favicon.ico	(from https://www.womenshealth.gov/)
06:15:19	58677/58677	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2013:15:19%20GMT	https://www.womenshealth.gov/node/1234	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/node/1234.html	(from https://www.womenshealth.gov/)
06:15:19	1027/1027	---MCZ	200	added ('OK')	text/css	etag:W/%2260f74358-403%22	https://www.womenshealth.gov/core/modules/system/css/components/ajax-progress.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/ajax-progress.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:20	484/484	---M--	200	added ('OK')	text/css	etag:%2260f74358-1e4%22	https://www.womenshealth.gov/core/modules/system/css/components/align.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/align.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:21	603/603	---M--	200	added ('OK')	text/css	etag:%2260f74358-25b%22	https://www.womenshealth.gov/core/modules/system/css/components/autocomplete-loading.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/autocomplete-loading.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:21	95/95	---M--	200	added ('OK')	text/css	etag:%2260f74358-5f%22	https://www.womenshealth.gov/core/modules/system/css/components/fieldgroup.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/fieldgroup.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:22	275/275	---M--	200	added ('OK')	text/css	etag:%2260f74358-113%22	https://www.womenshealth.gov/core/modules/system/css/components/container-inline.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/container-inline.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:22	306/306	---M--	200	added ('OK')	text/css	etag:%2260f74358-132%22	https://www.womenshealth.gov/core/modules/system/css/components/clearfix.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/clearfix.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:22	127/127	---M--	200	added ('OK')	text/css	etag:%2260f74358-7f%22	https://www.womenshealth.gov/core/modules/system/css/components/details.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/details.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:24	1359/1359	---MCZ	200	added ('OK')	text/css	etag:W/%2260f74358-54f%22	https://www.womenshealth.gov/core/modules/system/css/components/hidden.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/hidden.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:24	285/285	---M--	200	added ('OK')	text/css	etag:%2260f74358-11d%22	https://www.womenshealth.gov/core/modules/system/css/components/item-list.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/item-list.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:24	402/402	---M--	200	added ('OK')	text/css	etag:%2260f74358-192%22	https://www.womenshealth.gov/core/modules/system/css/components/js.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/js.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:25	96/96	---M--	200	added ('OK')	text/css	etag:%2260f74358-60%22	https://www.womenshealth.gov/core/modules/system/css/components/nowrap.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/nowrap.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:26	95/95	---M--	200	added ('OK')	text/css	etag:%2260f74358-5f%22	https://www.womenshealth.gov/core/modules/system/css/components/position-container.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/position-container.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:27	825/825	---M--	200	added ('OK')	text/css	etag:%2260f74358-339%22	https://www.womenshealth.gov/core/modules/system/css/components/progress.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/progress.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:27	274/274	---M--	200	added ('OK')	text/css	etag:%2260f74358-112%22	https://www.womenshealth.gov/core/modules/system/css/components/reset-appearance.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/reset-appearance.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:27	270/270	---M--	200	added ('OK')	text/css	etag:%2260f74358-10e%22	https://www.womenshealth.gov/core/modules/system/css/components/resize.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/resize.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:27	163/163	---M--	200	added ('OK')	text/css	etag:%2260f74358-a3%22	https://www.womenshealth.gov/core/modules/system/css/components/sticky-header.module.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/sticky-header.modulea44e.css	(from https://www.womenshealth.gov/)
06:15:28	761/761	---M--	200	added ('OK')	text/css	etag:%2260f74358-2f9%22	https://www.womenshealth.gov/core/modules/system/css/components/system-status-counter.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/system-status-countera44e.css	(from https://www.womenshealth.gov/)
06:15:29	557/557	---M--	200	added ('OK')	text/css	etag:%2260f74358-22d%22	https://www.womenshealth.gov/core/modules/system/css/components/system-status-report-counters.css?qwz7vs	C:/Users/Abduljelil/3D%20Objects/h/health/www.womenshealth.gov/core/modules/system/css/components/system-status-report-countersa44e.css	(from https://www.womenshealth.gov/)
